turne,ano,cidade_fonte,data_show_fonte,musica,fonte_url
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Back in the U.S.S.R.,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,I Saw Her Standing There,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Twenty Flight Rock,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Coming Up,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Let It Be,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Yesterday,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Get Back,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Golden Slumbers,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,Carry That Weight,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
The Paul McCartney World Tour,1989,Nova York (Madison Square Garden),1989-12-14,The End,https://www.setlist.fm/setlist/paul-mccartney/1989/madison-square-garden-new-york-ny-63d7e687.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Drive My Car,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Coming Up,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Looking for Changes,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Another Day,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Jet,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,All My Loving,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Let Me Roll It,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Peace in the Neighbourhood,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Off the Ground,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Can't Buy Me Love,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Robbie's Bit (Thanks Chet),https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Good Rocking Tonight,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,We Can Work It Out,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,I Lost My Little Girl,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Ain't No Sunshine,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Hope of Deliverance,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
New World Tour,1993,East Rutherford (Giants Stadium),1993-06-11,Michelle,https://www.setlist.fm/setlist/paul-mccartney/1993/giants-stadium-east-rutherford-nj-13dc0161.html
